,id,Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
count,750000.0,750000.0,750000.0,750000.0,750000,750000,750000.0,750000.0,750000.0,750000
unique,,,,,5,11,,,,7
top,,,,,Sandy,Paddy,,,,14-35-14
freq,,,,,156710,85754,,,,114436
mean,374999.5,31.503565333333334,61.038912,45.18414666666666,,,23.093808,9.478296,21.073226666666667,
std,216506.49528362884,4.02557369353193,6.647695398561932,11.794593598554938,,,11.216125168453724,5.765621787189142,12.346830893563999,
min,0.0,25.0,50.0,25.0,,,4.0,0.0,0.0,
25%,187499.75,28.0,55.0,35.0,,,13.0,4.0,10.0,
50%,374999.5,32.0,61.0,45.0,,,23.0,9.0,21.0,
75%,562499.25,35.0,67.0,55.0,,,33.0,14.0,32.0,
max,749999.0,38.0,72.0,65.0,,,42.0,19.0,42.0,
